Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
52J-10-CAM,Dromex Camoflage TaeKi5,,True,1,55.8,64.17,53.475,61.5,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
52J-11-CAM,Dromex Camoflage TaeKi5,,True,1,55.8,64.17,53.475,61.5,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
52LSTPV-8,"Dromex TaeKi5 Heat & Cut, Impact Glove with HCT",,True,1,107.25,123.3375,93.587,107.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
52LSTPV-9,"Dromex TaeKi5 Heat & Cut, Impact Glove with HCT",,True,1,107.25,123.3375,93.587,107.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
52LSTPV-10,"Dromex TaeKi5 Heat & Cut, Impact Glove with HCT",,True,1,107.25,123.3375,93.587,107.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM305-6,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,True,1,71.5,82.225,66.8495,76.88,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM305-7,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,True,1,71.5,82.225,68.75,79.06,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM305-8,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,True,1,71.5,82.225,68.75,79.06,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM305-9,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,True,1,71.5,82.225,68.75,79.06,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM305-10,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,True,1,71.5,82.225,68.75,79.06,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
