Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
CATER_UVH_10,Knife (Individually Wrapped) 150's,,True,1,97.0,111.55,90.0,103.5,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_11,Fork (Unwrapped) 100's x 10,,True,1,363.0,417.45,335.0,385.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_12,Selling Price Per Shrink Pack of 100 Units,,True,1,36.0,41.4,34.0,39.1,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_13,Fork (Individually Wrapped) 150's,,True,1,109.0,125.35,100.0,115.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_14,Spoon (Unwrapped) 100's x 10,,True,1,375.0,431.25,340.0,391.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_15,Spoon (Individually Wrapped) 150's,,True,1,111.0,127.65,102.0,117.3,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_16,Tea Spoon (Unwrapped) 100's x 20,,True,1,481.0,553.15,440.0,506.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_17,"Catering Pack (Knife, Fork & Serviette)",,True,1,311.0,357.65,280.0,322.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_18,Toothpicks (Individually Wrapped) 1000's x 6,,True,1,232.0,266.8,215.0,247.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CATER_UVH_19,Stirrer Stick Packs of 1000's x 8 per Box,,True,1,444.0,510.6,395.0,454.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
