Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
PREMREFLVESTZI-L-B,Premium Reflective Vest with Zip & ID,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI-XL-B,Premium Reflective Vest with Zip & ID,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI-2XL-B,Premium Reflective Vest with Zip & ID,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI-3XL-B,Premium Reflective Vest with Zip & ID,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI2-S-OLG,Premium Reflective Vest with Zip & ID Olive,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI2-M-OLG,Premium Reflective Vest with Zip & ID Olive,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI2-L-OLG,Premium Reflective Vest with Zip & ID Olive,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI2-XL-OLG,Premium Reflective Vest with Zip & ID Olive,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI2-2XL-OLG,Premium Reflective Vest with Zip & ID Olive,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMREFLVESTZI2-3XL-OLG,Premium Reflective Vest with Zip & ID Olive,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMTWOTONEREF-S-LO,Premium Two Tone Reflective Vest,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMTWOTONEREF-M-LO,Premium Two Tone Reflective Vest,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMTWOTONEREF-L-LO,Premium Two Tone Reflective Vest,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMTWOTONEREF-XL-LO,Premium Two Tone Reflective Vest,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMTWOTONEREF-2XL-LO,Premium Two Tone Reflective Vest,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PREMTWOTONEREF-3XL-LO,Premium Two Tone Reflective Vest,,True,1,45.0,51.75,40.0,46.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
REFLVESTZIPID-S-L,Reflective Vest with Zip & ID,,True,1,39.0,44.85,35.0,40.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
