Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
DW-ST-CARGO-SH-50,Dromex Cotton Stretch Technical Cargo Shorts,,True,1,421.85,485.1275,405.625,466.47,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-28,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-30,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-32,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-34,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-36,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-38,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-40,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-42,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-44,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-46,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-48,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-SH-50,Dromex Utility Shorts,,True,1,464.75,534.4625,446.875,513.91,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-28,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-30,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-32,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-34,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-36,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-38,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-40,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-42,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-44,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-46,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-48,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-PN-50,Dromex Utility Pants,,True,1,564.85,649.5775,543.125,624.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-J-S,Dromex Utility Jacket,,True,1,643.5,740.025,618.75,711.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-J-M,Dromex Utility Jacket,,True,1,643.5,740.025,618.75,711.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-J-L,Dromex Utility Jacket,,True,1,643.5,740.025,618.75,711.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-J-XL,Dromex Utility Jacket,,True,1,643.5,740.025,618.75,711.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-J-2XL,Dromex Utility Jacket,,True,1,643.5,740.025,618.75,711.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-J-3XL,Dromex Utility Jacket,,True,1,643.5,740.025,618.75,711.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-FA-PN-AB-28-B,Dromex Utility Pants Airforce Fa,,True,1,750.75,863.3625,721.875,830.16,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-FA-PN-AB-30-B,Dromex Utility Pants Airforce Fa,,True,1,750.75,863.3625,721.875,830.16,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-FA-PN-AB-32-B,Dromex Utility Pants Airforce Fa,,True,1,750.75,863.3625,721.875,830.16,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DW-UTI-FA-PN-AB-34-B,Dromex Utility Pants Airforce Fa,,True,1,750.75,863.3625,721.875,830.16,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
