product_slug,sku,name,Categories,categories_slug,category_slug,Brand,brand_slug_origenal,Image URL,Attributes_origenal,attributes,Price,Regular Price,Sale Price,type,images,variant,description,short_description,stock,brand_slug
baby-softy-wet-wipes-80,W560,Baby Softy Wet Wipes 80,"Cleaning &amp; Equipment, Disposables, Kids Products","disposables-cleaning-equipment, disposables-2, kids-products",disposables-cleaning-equipment,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/cf24634d-2d12-4255-9f6e-bccf11d43bf8.jpeg,['Colour:'],"{""Colour"": """"}",15,15,,0,/04/cf24634d-2d12-4255-9f6e-bccf11d43bf8.jpeg,0,,,0,hygiene-protection
certainty-unisex-super-absorbent-diapers-medium-adult-diapers-m-10-pieces,BN215-1,Certainty Unisex Super Absorbent Diapers Medium Adult Diapers - M  (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Adult_Diapers_M.jpg,['Colour:'],"{""Colour"": """"}",100,100,,0,/04/Certainty_Adult_Diapers_M.jpg,0,,,0,hygiene-protection
undiluted-100-pure-extra-virgin-olive-oil-5l,AOO-001-5l,UNDILUTED 100% PURE EXTRA VIRGIN OLIVE OIL - 5L,"Catering, Food Products","catering-food-products, food-products",catering-food-products,,,https://uvhholdings.co.za/wp-content/uploads/2026/04/1.png,['Colour:'],"{""Colour"": """"}",1650,1650,,0,/04/1.png,0,,,0,UNDEFINED
certainty-premium-overnight-adult-diapers-adult-diapers-xxl-10-pieces,AD110-4,Certainty Premium Overnight Adult Diapers Adult Diapers - XXL (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Premium_Overnight_Adult_Diapers_XXL.jpg,['Colour:'],"{""Colour"": """"}",115,115,,0,/04/Certainty_Premium_Overnight_Adult_Diapers_XXL.jpg,0,,,0,hygiene-protection
certainty-premium-overnight-adult-diapers-adult-diapers-xl-10-pieces,AD110-3,Certainty Premium Overnight Adult Diapers Adult Diapers - XL (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Premium_Overnight_Adult_Diapers_XL.jpg,['Colour:'],"{""Colour"": """"}",115,115,,0,/04/Certainty_Premium_Overnight_Adult_Diapers_XL.jpg,0,,,0,hygiene-protection
certainty-premium-overnight-adult-diapers-adult-diapers-l-10-pieces,AD110-2,Certainty Premium Overnight Adult Diapers Adult Diapers - L (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Premium_Overnight_Adult_Diapers_Large.jpg,['Colour:'],"{""Colour"": """"}",115,115,,0,/04/Certainty_Premium_Overnight_Adult_Diapers_Large.jpg,0,,,0,hygiene-protection
certainty-premium-overnight-adult-diapers-adult-diapers-s-10-pieces,AD110-1,Certainty Premium Overnight Adult Diapers Adult Diapers - S (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Premium_Overnight_Adult_Diapers_Small.jpg,['Colour:'],"{""Colour"": """"}",115,115,,0,/04/Certainty_Premium_Overnight_Adult_Diapers_Small.jpg,0,,,0,hygiene-protection
certainty-premium-overnight-adult-diapers-adult-diapers-m-10-pieces,AD110,Certainty Premium Overnight Adult Diapers Adult Diapers - M  (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Premium_Overnight_Adult_Diapers_Medium.jpg,['Colour:'],"{""Colour"": """"}",115,115,,0,/04/Certainty_Premium_Overnight_Adult_Diapers_Medium.jpg,0,,,0,hygiene-protection
hi-baby-every-day-baby-diapers-20-nappies-large,BN215,Hi Baby Every Day Baby Diapers - 20 Nappies - Large,"Disposables, Hygiene Protection, Nappies, PPE","disposables, hygiene-protection, nappies, ppe",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Hi_Baby_Premium_DiapersLarge.jpg,['Colour:'],"{""Colour"": """"}",60,60,,0,/04/Hi_Baby_Premium_DiapersLarge.jpg,0,,,0,hygiene-protection
hi-baby-wipes-premium-baby-wet-wipes,W291,Hi Baby Wipes - Premium Baby Wet Wipes,"Cleaning &amp; Equipment, Disposables, Kids Products","disposables-cleaning-equipment, disposables-2, kids-products",disposables-cleaning-equipment,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/HI_BABY_WipesG.jpg,['Colour:'],"{""Colour"": """"}",25,25,,0,/04/HI_BABY_WipesG.jpg,0,,,0,hygiene-protection
reusable-scrub,APP-SCRUB-RE,Reusable Scrub,"Disposables, Medical, Medical, Medical, PPE, PPE, Workwear","disposables, medical, medical-ppe-2, medical-medical, ppe-medical-2, ppe, workwear-medical",disposables,PPE,ppe,https://uvhholdings.co.za/wp-content/uploads/2026/02/reusable-scrub.jpg,['Colour:'],"{""Colour"": """"}",496.34,496.34,,0,/02/reusable-scrub.jpg,0,,,0,ppe
