sku,retail_price,wholesale_price
DH100-WY,7.865,7.5625
1412A-8-Y,8.931,8.5875
1412A-9-Y,11.5,8.5875
1412A-10-Y,11.5,8.5875
GCOM/KW-Y,20.0889,19.31625
GLATEX/35-Y,59.345,57.0625
GCRAY-Y,10.3675,9.96875
DG-HS-Y-S-Y,6.578,6.325
DG-HS-Y-M-Y,6.578,6.325
DG-HS-Y-L-Y,6.578,6.325
DG-HS-Y-XL-Y,6.578,6.325
DG-HS-B-M-B,8.008,7.7
DG-HS-B-L-B,8.008,7.7
DG-HS-B-XL-B,8.008,7.7
DG-NITS-S-B,750.75,721.875
DG-NITS-M-B,800.8,721.875
DG-NITS-L-B,800.8,721.875
DG-NITS-XL-B,800.8,721.875
0921/10-Y,15.73,15.125
DH0911A-9-AF,13.9,12.9
0722/10-B,16.445,15.8125
0742/10-B,17.875,17.1875
WELD/BLUE-B,80.595,72.76071825
WELD/PRIME-G,80.595,72.76071825
WELD/RED-R,80.595,72.76071825
WELD/2.5,80.595,72.76071825
WELD/2.5GR-G,80.595,72.76071825
GTIG-8-TN,47.19,45.375
GTIG-9-TN,49,46.0625
GTIG-10-TN,49,46.0625
GTIG-11-TN,55,49.5
GTIG-12-TN,59,54.3125
GRIGGER/EXEC-G,28.6,27.5
GGOAT-8-W,35,33
GGOAT-9-W,35,33
GGOAT-10-W,35,33
GGOAT-15CMC-8,50.05,48.125
GGOAT-15CMC-9,50,48
GGOAT-15CMC-10,54.34,52.25
GCANDY,25,23
GCLIP-DROMEX-Y,31.46,30.25
XTRA/KW-BR,20.02,19.25
CRONUS/E-G,21.45,20.625
CRONUS/RGW-RG,14.3,13.75
GPVC/27/HG-G,16.445,15.8125
GPVC/KW-R,10.725,10.3125
GFREEZER/OC-O,50.05,48.125
DG-THOR5-8-Y,993.85,955.625
DG-THOR5-9-Y,993.85,955.625
DG-THOR5-10-Y,993.85,955.625
DG-THOR10-8-Y,1215.5,1168.75
DG-THOR10-9-Y,1250,1168.75
DG-THOR10-10-Y,1250,1168.75
DG-OV-S-O,279,265
DG-OV-M-O,279,265
DG-OV-L-O,279,265
DG-OV-XL-O,279,265
DB-WELDJ-S-BLK,1573,1512.5
DB-WELDJ-M-BLK,1573,1512.5
DB-WELDJ-L-BLK,1573,1512.5
DB-WELDJ-XL-BLK,1573,1512.5
DB-WELDJ-2XL-BLK,1573,1512.5
DB-WELDJ-3XL-BLK,1573,1512.5
ACE-60X90-W,88,84
ACE-YOKE-L-B,183,173
ACE-YOKE-XL-B,183,173
ACE-YOKE-2XL-B,183,173
DH-SPAT-KNEE-W,115,105
KBELT-S-W,85,77
KBELT-M-W,85,77
KBELT-L-W,85,77
KBELT-XL-W,85,77
KBELT-2XL-W,85,77
DHYDRO-S-Y,175,165
DHYDRO-M-Y,175,165
DHYDRO-L-Y,175,165
DHYDRO-XL-Y,175,165
DHYDRO-2XL-Y,175,165
DHYDRO-3XL-Y,175,165
DHYDRO-4XL-Y,175,165
DB-HYDROPLUS-S-O,786.5,756.25
DB-HYDROPLUS-M-O,786.5,756.25
DB-HYDROPLUS-L-O,786.5,756.25
DB-HYDROPLUS-XL-O,786.5,756.25
DB-HYDROPLUS-2XL-O,786.5,756.25
DB-HYDROPLUS-3XL-O,786.5,756.25
PRSRUB/SB-S-N,110,106
PRSRUB/SB-M-N,110,106
PRSRUB/SB-L-N,110,106
PRSRUB/SB-XL-N,110,106
PRSRUB/SB-2XL-N,110,106
PRSRUB/SB-3XL-N,110,106
PRSRUB/SB-4XL-N,110,106
PRSRUB/SY-S-Y,110,106
PRSRUB/SY-M-Y,110,106
PRSRUB/SY-L-Y,110,106
PRSRUB/SY-XL-Y,110,106
PRSRUB/SY-2XL-Y,110,106
PRSRUB/SY-3XL-Y,110,106
PRSRUB/SY-4XL-Y,110,106
PRSRUB/SBLK-4XLBLK-S-BLK,82.94,79.75
PRSRUB/SBLK-4XLBLK-M-BLK,82.94,79.75
PRSRUB/SBLK-4XLBLK-L-BLK,82.94,79.75
PRSRUB/SBLK-4XLBLK-XL-BLK,82.94,79.75
PRSRUB/SBLK-4XLBLK-2XL-BLK,82.94,79.75
PRSRUB/SBLK-4XLBLK-3XL-BLK,82.94,79.75
PRSRUB/SBLK-4XLBLK-4XL-BLK,82.94,79.75
PRSRUB/SOR-S-O,140,135
PRSRUB/SOR-M-O,140,135
PRSRUB/SOR-L-O,140,135
PRSRUB/SOR-XL-O,140,135
PRSRUB/SOR-2XL-O,140,135
PRSRUB/SOR-3XL-O,140,135
PRSRUB/SOR-4XL-O,140,135
PRSRUB/SFL-S-LMG,140,135
PRSRUB/SFL-M-LMG,140,135
PRSRUB/SFL-L-LMG,140,135
PRSRUB/SFL-XL-LMG,140,135
PRSRUB/SFL-2XL-LMG,140,135
PRSRUB/SFL-3XL-LMG,140,135
PRSRUB/BRT-S-NVB,140,135
PRSRUB/BRT-M-NVB,140,135
PRSRUB/BRT-L-NVB,140,135
PRSRUB/BRT-XL-NVB,140,135
PRSRUB/BRT-2XL-NVB,140,135
PRSRUB/BRT-3XL-NVB,140,135
RUBCOAT/SB-S-NVB,93,89
RUBCOAT/SB-M-NVB,93,89
RUBCOAT/SB-L-NVB,93,89
RUBCOAT/SB-XL-NVB,93,89
RUBCOAT/SB-2XL-NVB,93,89
RUBCOAT/SB-3XL-NVB,93,89
RUBCOAT/SY-S-Y,93,89
RUBCOAT/SY-M-Y,93,89
RUBCOAT/SY-L-Y,93,89
RUBCOAT/SY-XL-Y,93,89
RUBCOAT/SY-2XL-Y,93,89
RUBCOAT/SY-3XL-Y,93,89
DB-MAC-XS-G,343,330
DB-MAC-S-G,336.05,323.125
DB-MAC-M-G,343.2,323.5
DB-MAC-L-G,343.2,323.875
DB-MAC-XL-G,343.2,324.25
DB-MAC-2XL-G,343.2,324.625
DB-MAC-3XL-G,343.2,325
DB-MAC-4XL-G,377.52,363
DB-MAC-5XL-G,377.52,363
DB-AGRIMAC-J-S-G,336.05,323.125
DB-AGRIMAC-J-M-G,336.05,323.125
DB-AGRIMAC-J-L-G,336.05,323.125
DB-AGRIMAC-J-XL-G,336.05,323.125
DB-AGRIMAC-J-2XL-G,336.05,323.125
DB-AGRIMAC-J-3XL-G,336.05,323.125
DB-AGRIMAC-BP-S-G,264.55,254.375
DB-AGRIMAC-BP-M-G,264.55,254.375
DB-AGRIMAC-BP-L-G,264.55,254.375
DB-AGRIMAC-BP-XL-G,264.55,254.375
DB-AGRIMAC-BP-2XL-G,264.55,254.375
DB-AGRIMAC-BP-3XL-G,264.55,254.375
DB-APOLLO-S,600.6,577.5
DB-APOLLO-M,600.6,577.5
DB-APOLLO-L,600.6,577.5
DB-APOLLO-XL,600.6,577.5
DB-APOLLO-2XL,600.6,577.5
DB-APOLLO-3XL,600.6,577.5
DB-APOLLO-4XL,600.6,577.5
DB-APOLLO-5XL,600.6,577.5
DB-WETPRO-LNB-S-YNVB,572,550
DB-WETPRO-LNB-M-YNVB,572,550
DB-WETPRO-LNB-L-YNVB,572,550
DB-WETPRO-LNB-XL-YNVB,572,550
DB-WETPRO-LNB-2XL-YNVB,572,550
DB-WETPRO-LNB-3XL-YNVB,572,550
DB-WETPRO-LNB-4XL-YNVB,572,550
DB-WETPRO-LNB-5XL-YNVB,572,550
DB-PJ-S,514.8,495
DB-PJ-M,514.8,495
DB-PJ-L,514.8,495
DB-PJ-XL,514.8,495
DB-PJ-2XL,514.8,495
DB-PJ-3XL,514.8,495
DB-PJ-4XL,514.8,495
DB-PJ-5XL,514.8,495
DB-2TPJ-XS,514.8,495
DB-2TPJ-S,514.8,495
DB-2TPJ-M,514.8,495
DB-2TPJ-L,514.8,495
DB-2TPJ-XL,514.8,495
DB-2TPJ-2XL,514.8,495
DB-2TPJ-3XL,514.8,495
DB-2TPJ-4XL,514.8,495
DB-2TPJ-5XL,514.8,495
DB-SS-XS,414.7,398.75
DB-SS-S,414.7,398.75
DB-SS-M,414.7,398.75
DB-SS-L,414.7,398.75
DB-SS-XL,414.7,398.75
DB-SS-2XL,414.7,398.75
DB-SS-3XL,414.7,398.75
DB-SS-4XL,414.7,398.75
DB-SS-5XL,414.7,398.75
DB-STP-J-XS-N,450,433
DB-STP-J-S-N,464.75,446.875
DB-STP-J-M-N,464.75,446.875
DB-STP-J-L-N,464.75,446.875
DB-STP-J-XL-N,464.75,446.875
DB-STP-J-2XL-N,464.75,446.875
DB-STP-J-3XL-N,464.75,446.875
DB-STP-J-4XL-N,464.75,446.875
DB-STP-J-5XL-N,450,433
DB-STP-P-S-N,228.8,220
DB-STP-P-M-N,228.8,220
DB-STP-P-L-N,228.8,220
DB-STP-P-XL-N,228.8,220
DB-STP-P-2XL-N,228.8,220
DB-STP-P-3XL-N,228.8,220
DB-STP-P-4XL-N,228.8,220
DB-STG-J-S-N,429,412.5
DB-STG-J-M-N,429,412.5
DB-STG-J-L-N,429,412.5
DB-STG-J-XL-N,429,412.5
DB-STG-J-2XL-N,429,412.5
DB-STG-J-3XL-N,429,412.5
DB-STG-P-S-N,243.1,233.75
DB-STG-P-M-N,243.1,233.75
DB-STG-P-L-N,243.1,233.75
DB-STG-P-XL-N,243.1,233.75
DB-STG-P-2XL-N,243.1,233.75
DB-STG-P-3XL-N,243.1,233.75
DB-STL-S-BLK,372,358
DB-STL-M-BLK,372,358
DB-STL-L-BLK,372,358
DB-STL-XL-BLK,372,358
DB-STL-2XL-BLK,372,358
DB-STL-3XL-BLK,372,358
DB-STL-NB-S-N,371.8,357.5
DB-STL-NB-M-N,371.8,357.5
DB-STL-NB-L-N,371.8,357.5
DB-STL-NB-XL-N,371.8,357.5
DB-STL-NB-2XL-N,371.8,357.5
DB-STL-NB-3XL-N,371.8,357.5
DB-STBW-A-S-BLKW,257.4,247.5
DB-STBW-A-M-BLKW,257.4,247.5
DB-STBW-A-L-BLKW,257.4,247.5
DB-STBW-A-XL-BLKW,257.4,247.5
DB-STBW-A-2XL-BLKW,257.4,247.5
DB-STBW-A-3XL-BLKW,257.4,247.5
DB-STBW-H-S-BLKW,228.8,220
DB-STBW-H-M-BLKW,228.8,220
DB-STBW-H-L-BLKW,228.8,220
DB-STBW-H-XL-BLKW,228.8,220
DB-STBW-H-2XL-BLKW,228.8,220
DB-STBW-H-3XL-BLKW,228.8,220
PROMAX-C4000-M-Y,358,344
PROMAX-C4000-L-Y,358,344
PROMAX-C4000-XL-Y,358,344
PROMAX-C4000-2XL-Y,358,344
PROMAX-C4000-3XL-Y,358,344
PROMAX-1000-M-W,114,110
PROMAX-1000-L-W,114,110
PROMAX-1000-XL-W,114,110
PROMAX-S-W,57,55
PROMAX-M-W,57,55
PROMAX-L-W,57,55
PROMAX-XL-W,57,55
PROMAX-2XL-W,57,55
PROMAX-3XL-W,57,55
PDISPO-M-W,27,26
PDISPO-L-W,27,26
PDISPO-XL-W,27,26
PDISPO-2XL-W,27,26
PDISPO-3XL-W,27,26
SA19-L,15.015,14.4375
SA10-S-L,31,30
SA10-M-L,31,30
SA10-L-L,31,30
SA10-XL-L,31,30
SA10-2XL-L,31,30
SA10-3XL-L,31,30
SA10-5XL-L,31,30
SA10-OR-S-O,31,30
SA10-OR-M-O,31,30
SA10-OR-L-O,31,30
SA10-OR-XL-O,31,30
SA10-OR-2XL-O,31,30
SA10-OR-3XL-O,31,30
SA10-OR-5XL-O,31,30
SA7B2-S-L,34,33
SA7B2-M-L,34,33
SA7B2-L,34,33
SA7B2-XL-L,34,33
SA7B2-2XL-L,34,33
SA7B2-3XL-L,34,33
SA7B2-5XL-L,34.32,33
SA16A-M-L,39,37
SA16A-L-L,39,37
SA16A-XL-L,39,37
SA16A-2XL-L,39,37
SA16A-3XL-L,39,37
SA-S-LO,51,50
SA-M-LO,51,50
SA-L-LO,51,50
SA-XL-LO,51,50
SA-2XL-LO,51,50
SA-3XL-LO,51,50
SA-5XL-LO,51,50
SA50-YB-S-LO,114,110
SA50-YB-M-LO,92.95,89.375
SA50-YB-L-LO,92.95,89.375
SA50-YB-XL-LO,92.95,89.375
SA50-YB-2XL-LO,92.95,89.375
SA50-YB-3XL-LO,92.95,89.375
SA50-YOR-S-LR,114.4,110
SA50-YOR-M-LR,114.4,110
SA50-YOR-L-LR,114.4,110
SA50-YOR-XL-LR,114.4,110
SA50-YOR-2XL-LR,114.4,110
SA50-YOR-3XL-LR,114.4,110
SA11-ASFR-XL-LR,157.3,151.25
SA11-ASFR-2XL-LR,157.3,151.25
SA11-ASFR-3XL-LR,157.3,151.25
SA11-ASFR-5XL-LR,157.3,151.25
SA003FR-Y-S-L,193.05,185.625
SA003FR-Y-M-L,193,186
SA003FR-Y-L-L,193,186
SA003FR-Y-XL-L,193.05,185.625
SA003FR-Y-2XL-L,193.05,185.625
SA003FR-Y-3XL-L,193.05,185.625
SA003FR-Y-5XL-L,193.05,185.625
SA13-SL-S-LO,178.75,171.875
SA13-SL-M-LO,178.75,171.875
SA13-SL-L-LO,178.75,171.875
SA13-SL-XL-LO,178.75,171.875
SA13-SL-2XL-LO,178.75,171.875
SA13-SL-3XL-LO,178.75,171.875
SA14-NS-S-LO,157.3,151.25
SA14-NS-M-LO,157.3,151.25
SA14-NS-L-LO,157.3,151.25
SA14-NS-XL-LO,157.3,151.25
SA14-NS-2XL-LO,157.3,151.25
SA14-NS-3XL-LO,157.3,151.25
FA-3,622.05,598.125
FA-3/REFILL,336.05,323.125
FA-7,693.55,666.875
FA-7/REFILL,407.55,391.875
DFA-PN10,529.1,508.75
DFA-PN21,593.58,570.75
DFA-PN10-PS,321.75,309.375
DFA-PN361N,544.83,523.875
DFA-STS01,274.17,263.625
DFA-TL01,104.39,100.375
DFA-TL02,160.16,154
DFA-TPGS06,3432,3300
DFA-TPGS15,7865,7562.5
DFA-PN2002,1601.6,1540
DFA-MIC02,2402.4,2310
WELDSCR-2X2-Y,80.595,72.76071825
WELDSCR-2X3-Y,80.595,72.76071825
DH-HH-W,90.09,86.625
DH-HH-DB-DKB,90.09,86.625
DH-HH-B,90.09,86.625
DH-HH-RD-R,90.09,86.625
DH-HH-G,90.09,86.625
DH-HH-Y,90.09,86.625
DH-HH-OR-O,90.09,86.625
DH-HH-GY,90.09,86.625
DH-HH-P,82,78
DH-HH-BLK,90.09,86.625
DH-HH-BRN-BR,90.09,86.625
DH-HHCL-W,104.39,100.375
DH-HHCL-B,104.39,100.375
DH-HHCL-RD-R,104.39,100.375
DH-HHCL-Y,104.39,100.375
DH-HHCL-G,104.39,100.375
DH-HHCL-OR-O,104.39,100.375
DH-HHCL-GY,104.39,100.375
DH-HHCL-DB-DKB,104.39,100.375
BUMPCAP-NB-NVB,92.95,89.375
BUMPCAP-BLK-B,92.95,89.375
DV-11-CL,9.9385,9.55625
DV-21-CL,12.5125,12.03125
DV-004MAX-CL,57.2,55
DV-EF20B-CL,143,137.5
DV-GW5-CL,28.6,27.5
DV-026A-AM,9.6525,9.28125
DV-353C-AF-R-CL,25.74,24.75
DV-353C-AF-B-CL,25.74,24.75
DV-353C-AF-L-CL,25.74,24.75
DV-894G-AF-R-GY,51.48,49.5
DV-894G-AF-B-GY,51.48,49.5
DV-894G-AF-Y-GY,51.48,49.5
DV-326B-C-AF-CL,78.65,75.625
DV-326B-G-AF-GY,78.65,75.625
DV-1C-CL,11.5089,15
DV-1GN-G,11.5089,15
DV-504-CL,30.03,28.875
DV-026C-CL,9.6525,9.28125
DV-026C-AF-CL,13.585,13.0625
DV-026GN-G,9.6525,9.28125
DV-026G-GY,9.6525,9.28125
DV-026A-CL,9.6525,9.28125
DV-026-IR5-G,40.04,38.5
DV-026-IR3-G,40.04,38.5
DV-55C-AF-CL,24.31,23.375
DV-55G-AF-GY,24.31,23.375
DV-12C-CL,8.9375,8.59375
DV-12C-AF-CL,13.585,13.0625
DV-12G-GY,8.9375,8.59375
DV-12GN-G,8.5514,8.2225
DV-12A-AF-Y,13.585,13.0625
DV-12M-MI,15.015,14.4375
DV-894G-AF-B,51.48,49.5
DV-894G-AF-Y,51.48,49.5
F-POUCH-BLK,7.15,6.875
8A-G,5.005,4.8125
DR-098-G,1.573,1.5125
DR-098C-G,2.6455,2.54375
DR-099C-PY,3.861,3.7125
DRO30-DISP,1716,1650
DRO30-G,1.716,1.65
DR-118C-BG,2.6455,2.54375
DR-090C-GG,2.6455,2.54375
DR-090CDET-BB,4.9335,4.74375
DR-090CI-G,8.58,8.25
EG3301B-B,15.73,15.125
JM-B,37.18,35.75
CEM-B,114.4,110
INTEREX-YBLK,157.3,151.25
