Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
CS005-48-RYB,Dust Coat,,True,1,152.0,174.8,136.5625,157.05,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS005-50-RYB,Dust Coat,,True,1,159.0,182.85,142.5,163.88,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS005-52-RYB,Dust Coat,,True,1,165.0,189.75,148.4375,170.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS010/11/14-32-44-GGYN,Dust Coat Emerald,,True,1,155.0,178.25,137.5,158.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS010/11/14-46-GGYN,Dust Coat Emerald,,True,1,155.0,178.25,137.5,158.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS010/11/14-48-GGYN,Dust Coat Emerald,,True,1,155.0,178.25,137.5,158.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS010/11/14-50-GGYN,Dust Coat Emerald,,True,1,155.0,178.25,137.5,158.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS008-32-44-W,Dust Coat,,True,1,155.0,178.25,137.5,158.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS008-46-W,Dust Coat,,True,1,169.0,194.35,151.25,173.94,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS008-48-W,Dust Coat,,True,1,179.0,205.85,158.125,181.84,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
CS008-50-W,Dust Coat,,True,1,185.0,212.75,165.0,189.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PNBT,Pioneer ® Safety Boot STC + Steel Midsole SBP,,True,1,425.0,488.75,377.5,434.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LMD600,Pioneer ® Safety Shoe STC SB,,True,1,419.0,481.85,372.5,428.38,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PB001-BLK,Pioneer ® Commander STC S1,,True,1,599.0,688.85,539.0,619.85,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PB001-BR,Pioneer ® Commander STC S1,,True,1,599.0,688.85,539.0,619.85,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
KONO,Kono Safety Boots SB,,True,1,395.0,454.25,353.75,406.81,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
