Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
13-100109,Chrome Leather Double Palm Glove Shoulder Length 16,,True,1,81.2,93.38,72.5,83.38,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100110,Chrome Leather Double Palm Glove 8,,True,1,47.6,54.74,42.5,48.88,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100111,Chrome Leather Double Palm Glove Wrist Length 2.5,,True,1,33.6,38.64,30.0,34.5,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100326,Chrome Leather Brick Glove with Rubber Palm,,True,1,84.0,96.6,75.0,86.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100113,Vip TIG Glove (Pig Skin),,True,1,75.6,86.94,67.5,77.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100115,Vip TIG Glove (Goat Skin),,True,1,39.2,45.08,35.0,40.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100114,Vip TIG Glove Extended Cuff ( Goat Skin),,True,1,64.4,74.06,57.5,66.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-1001151,Leather Napa Glove ( Made of Cow Hide),,True,1,54.6,62.79,48.75,56.06,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-1001131,Vip TIG Glove Chrome Leather,,True,1,37.8,43.47,33.75,38.81,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-1001132,Vip TIG Glove Tumi Cowhide Leather,,True,1,43.4,49.91,38.75,44.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100116,Chrome Leather Candy Stripe Glove,,True,1,23.8,27.37,21.25,24.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-1001161,Candy Stripe Pig Skin Glove,,True,1,36.4,41.86,32.5,37.38,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-1001162,Candy Stripe Rigger Glove Palm,,True,1,32.2,37.03,28.75,33.06,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-1001163,HIVIZ Chrome Leather Glove with Reflective Tape,,True,1,46.2,53.13,41.25,47.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100060-SV,Chainmail Glove (Stainless Steel Glove) (Price Per Each),,True,1,966.0,1110.9,862.5,991.88,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
13-100296-GBLK,Impaflex,,True,1,154.0,177.1,137.5,158.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
