Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
BAADHSP-25l,Dispenser Hand Soap Cherry - 25 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSB-5l,Dispenser Hand Soap Sea Breeze - 5 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSB-25l,Dispenser Hand Soap Sea Breeze - 25 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSI-5l,Dispenser Hand Soap - 5 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSI-25l,Dispenser Hand Soap - 25 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSL-5l,Dispenser Hand Soap Lavender - 5 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSL-25l,Dispenser Hand Soap Lavender - 25 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSH-5l,Dispenser Hand Soap Herbal - 5 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADHSH-25l,Dispenser Hand Soap Herbal - 25 Litre,,True,1,66.0,75.9,51.04,58.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAASG-5l,Shower Gel - 5 Litre,,True,1,69.375,79.78125,53.65,61.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAASG-25l,Shower Gel - 25 Litre,,True,1,69.375,79.78125,53.65,61.7,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAABB-5l,Bubble Bath - 5 Litre,,True,1,84.375,97.03125,65.25,75.04,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAABB-25l,Bubble Bath - 25 Litre,,True,1,84.375,97.03125,65.25,75.04,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADBBLU-5l-B,Deo Blocks. - 5 Litre,,True,1,271.875,312.65625,210.25,241.79,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADBBLU-25l-B,Deo Blocks. - 25 Litre,,True,1,271.875,312.65625,210.25,241.79,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADBPIN-5l-P,Deo Blocks. - 5 Litre,,True,1,271.875,312.65625,210.25,241.79,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADBPIN-25l-P,Deo Blocks. - 25 Litre,,True,1,271.875,312.65625,210.25,241.79,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADC-5l,Drain Cleaner - 5 Litre,,True,1,76.2,87.63,58.928,67.77,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADC-25l,Drain Cleaner - 25 Litre,,True,1,76.2,87.63,58.928,67.77,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADCA-5l,Acid Drain Cleaner - 5 Litre,,True,1,91.68,105.432,70.8992,81.53,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAADCA-25l,Acid Drain Cleaner - 25 Litre,,True,1,91.68,105.432,70.8992,81.53,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAACSF-5l,Drain Cleaner Caustic - 5kg,,True,1,379.515,436.44225,293.4916,337.52,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAAPP-5l,Porto Pit - 5 Litre,,True,1,95.085,109.34775,73.5324,84.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAAPP-25l,Porto Pit - 25 Litre,,True,1,95.085,109.34775,73.5324,84.56,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAABM-5l,Mac - 5 Litre,,True,1,208.725,240.03375,161.414,185.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
BAABM-25l,Mac - 25 Litre,,True,1,208.725,240.03375,161.414,185.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPB35-5l,Bleach 3.5% - 5 Litre,,True,1,4281.0,4923.15,35.0,40.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPB35-25l,Bleach 3.5% - 25 Litre,,True,1,22572.0,25957.8,190.0,218.5,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPB5-5l,Bleach 5% - 5 Litre,,True,1,54.0,62.1,41.76,48.02,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPB5-25l,Bleach 5% 25 Litre - 25 Litre,,True,1,54.0,62.1,41.76,48.02,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPBP-5,Colour Fast Bleach - 5 Litre,,True,1,67.5,77.625,52.2,60.03,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPBP-25l,Colour Fast Bleach - 25 Litre,,True,1,67.5,77.625,52.2,60.03,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPBSR-5l,Blood Stain Remover - 5 Litre,,True,1,170.04,195.546,131.4976,151.22,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPBSR-25l,Blood Stain Remover - 25 Litre,,True,1,170.04,195.546,131.4976,151.22,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPFS-5l,Fabric Softner - 5 Litre,,True,1,72.15,82.9725,67.0,77.05,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPFS-25l,Fabric Softner - 25 Litre,,True,1,72.15,82.9725,67.0,77.05,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
LPLL-5l,Liquid Laundry - 5 Litre,,True,1,119.775,137.74125,92.626,106.52,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
