Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
SA003FR-Y-M-L,Dromex Flame Retardant Reflective Jackets with Flame Retardant Tape,,True,1,193.0,221.95,186.0,213.9,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA003FR-Y-L-L,Dromex Flame Retardant Reflective Jackets with Flame Retardant Tape,,True,1,193.0,221.95,186.0,213.9,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA003FR-Y-XL-L,Dromex Flame Retardant Reflective Jackets with Flame Retardant Tape,,True,1,193.05,222.0075,185.625,213.47,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA003FR-Y-2XL-L,Dromex Flame Retardant Reflective Jackets with Flame Retardant Tape,,True,1,193.05,222.0075,185.625,213.47,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA003FR-Y-3XL-L,Dromex Flame Retardant Reflective Jackets with Flame Retardant Tape,,True,1,193.05,222.0075,185.625,213.47,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA003FR-Y-5XL-L,Dromex Flame Retardant Reflective Jackets with Flame Retardant Tape,,True,1,193.05,222.0075,185.625,213.47,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA13-SL-S-LO,"Dromex Traffic Reflective Vest, 100% Polyester Tricot, Detachable Sleeve ID, Detach Sleeve",,True,1,178.75,205.5625,171.875,197.66,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA13-SL-M-LO,"Dromex Traffic Reflective Vest, 100% Polyester Tricot, Detachable Sleeve ID, Detach Sleeve",,True,1,178.75,205.5625,171.875,197.66,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA13-SL-L-LO,"Dromex Traffic Reflective Vest, 100% Polyester Tricot, Detachable Sleeve ID, Detach Sleeve",,True,1,178.75,205.5625,171.875,197.66,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA13-SL-XL-LO,"Dromex Traffic Reflective Vest, 100% Polyester Tricot, Detachable Sleeve ID, Detach Sleeve",,True,1,178.75,205.5625,171.875,197.66,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA13-SL-2XL-LO,"Dromex Traffic Reflective Vest, 100% Polyester Tricot, Detachable Sleeve ID, Detach Sleeve",,True,1,178.75,205.5625,171.875,197.66,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA13-SL-3XL-LO,"Dromex Traffic Reflective Vest, 100% Polyester Tricot, Detachable Sleeve ID, Detach Sleeve",,True,1,178.75,205.5625,171.875,197.66,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA14-NS-S-LO,"Dromex Traffic Reflective Vest, 100% Polyester, Sleeveless",,True,1,157.3,180.895,151.25,173.94,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA14-NS-M-LO,"Dromex Traffic Reflective Vest, 100% Polyester, Sleeveless",,True,1,157.3,180.895,151.25,173.94,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA14-NS-L-LO,"Dromex Traffic Reflective Vest, 100% Polyester, Sleeveless",,True,1,157.3,180.895,151.25,173.94,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA14-NS-XL-LO,"Dromex Traffic Reflective Vest, 100% Polyester, Sleeveless",,True,1,157.3,180.895,151.25,173.94,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA14-NS-2XL-LO,"Dromex Traffic Reflective Vest, 100% Polyester, Sleeveless",,True,1,157.3,180.895,151.25,173.94,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
SA14-NS-3XL-LO,"Dromex Traffic Reflective Vest, 100% Polyester, Sleeveless",,True,1,157.3,180.895,151.25,173.94,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
FA-3,Dromex First Aid Kit Regulation 3,,True,1,622.05,715.3575,598.125,687.84,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
FA-3/REFILL,Dromex First Aid Kit Regulation 3 Refill,,True,1,336.05,386.4575,323.125,371.59,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
